Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Academy of Vocal Arts,"1920 Spruce St, Philadelphia, Pennsylvania 19103-6685",www.avaopera.org/,"4-year, Private not-for-profit",Postbaccalaureate certificate,City: Large,No,,,NA,NA,Fall 2017,NA,-,210508,3353300
Albright College,"1621 N. 13th St., Reading, Pennsylvania 19612-5234",www.albright.edu/home/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Small,Yes,1652,1328,42%,NA,Fall 2017,"$22,116 ",-,210571,322900
Allegheny College,"520 N Main St, Meadville, Pennsylvania 16335-3902",https://allegheny.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Distant,Yes,1231,1231,67%,NA,Fall 2017,"$27,929 ",-,210669,323000
All-State Career School,"50 West Powhattan Avenue, Essington, Pennsylvania 19029",www.allstatecareer.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate,Suburb: Large,No,831,831,46%,NA,Fall 2020,"$19,634 ",Truck and Bus Driver/Commercial Vehicle Operator and Instructor,210599,2495500
All-State Career School-Pittsburgh,"1200 Lebanon Road, West Mifflin, Pennsylvania 15122",https://www.allstatecareer.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,418,418,64%,NA,2020-21,"$12,740 ",Truck and Bus Driver/Commercial Vehicle Operator and Instructor,418658,3493302
Altoona Beauty School Inc,"1528 Valley View Blvd., Altoona, Pennsylvania 16602-6039",www.altoonabeautyschool.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Small,No,80,80,76%,NA,2020-21,NA,"Cosmetology/Cosmetologist, General",210748,2290400
Alvernia University,"400 Saint Bernardine St, Reading, Pennsylvania 19607-1799",https://www.alvernia.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,Yes,2485,2050,58%,31%,Fall 2017,"$26,166 ",-,210775,323300
American Barber and Beauty Academy,"733 Lancaster Avenue, Reading, Pennsylvania 19607-1602",americanbarberbeauty.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Small,No,118,118,80%,NA,2020-21,NA,Aesthetician/Esthetician and Skin Care Specialist,490258,4257900
American College of Financial Services,"630 Allendale Rd #400, King of Prussia, Pennsylvania 19406",https://www.theamericancollege.edu/,"4-year, Private not-for-profit",Less than one year certificate|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship,Suburb: Large,No,4204,3963,NA,NA,Fall 2017,NA,-,210809,
Arcadia University,"450 S Easton Rd, Glenside, Pennsylvania 19038-3295",https://www.arcadia.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,3142,1890,64%,30%,Fall 2017,"$26,994 ",-,211088,323500
ASPIRA City College,"4322 N. 5th Street, Philadelphia, Pennsylvania 19140-2302",https://aspiracitycollege.edu/,"2-year, Private not-for-profit",One but less than two years certificate|Associate's degree,City: Large,No,14,14,0%,50%,Fall 2020,"$15,727 ",-,214023,3109100
Automotive Training Center-Exton,"114 Pickering Way, Exton, Pennsylvania 19341-1310",www.autotraining.edu/,"2-year, Private for-profit",One but less than two years certificate|Two but less than 4 years certificate,Suburb: Large,No,364,364,74%,NA,Fall 2020,"$11,395 ",Automobile/Automotive Mechanics Technology/Technician,211006,1162100
Automotive Training Center-Warminster,"900 Johnsville Blvd, Warminster, Pennsylvania 18974",www.autotraining.edu/,"2-year, Private for-profit",One but less than two years certificate|Two but less than 4 years certificate,Suburb: Large,No,275,275,67%,NA,Fall 2020,"$12,309 ",Automobile/Automotive Mechanics Technology/Technician,448770,1162101
Aviation Institute of Maintenance-Philadelphia,"3001 Grant Avenue, Philadelphia, Pennsylvania 19114-1018",https://aviationmaintenance.edu/campuses/philadelphia-pa,"2-year, Private for-profit",Two but less than 4 years certificate,City: Large,No,339,339,44%,NA,Fall 2020,"$20,378 ",-,250285,3110700
Barber and Beauty Academy of Pennsylvania,"3605 N. Progress Ave, Suite 102, Harrisburg, Pennsylvania 17110",www.barberandbeautyacademyofpa.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,44,44,83%,NA,2020-21,NA,Aesthetician/Esthetician and Skin Care Specialist,483346,4226300
Barber School of Pittsburgh,"1201 Banksville Road, Pittsburgh, Pennsylvania 15216",bsp.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,78,78,79%,NA,2020-21,"$18,711 ",Barbering/Barber,483054,4224600
Bella Capelli Academy,"151 Wyngate Drive, Monroeville, Pennsylvania 15146-2388",paulmitchell.edu/monroeville,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,194,194,85%,NA,2020-21,"$16,044 ","Cosmetology/Cosmetologist, General",461193,4151700
Berks Career & Technology Center,"1057 County Road, Leesport, Pennsylvania 19533-9112",https://www.berkscareer.com/ACE,"< 2-year, Public",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,47,47,75%,NA,2020-21,"$14,034 ",Welding Technology/Welder,481021,4041300
Bryn Athyn College of the New Church,"2945 College Drive, Bryn Athyn, Pennsylvania 19009-0717",www.brynathyn.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,Suburb: Large,Yes,285,273,46%,17%,Fall 2017,"$19,204 ",-,210492,322800
Bryn Mawr College,"101 N Merion Avenue, Bryn Mawr, Pennsylvania 19010",www.brynmawr.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship,Suburb: Large,Yes,1666,1349,86%,9%,Fall 2017,"$39,383 ",-,211273,323700
Bucknell University,"One Dent Drive, Lewisburg, Pennsylvania 17837",www.bucknell.edu/,"4-year, Private not-for-profit",Bachelor's degree|Master's degree,Town: Distant,Yes,3892,3846,86%,5%,Fall 2017,"$38,486 ",-,211291,323800
Bucks County Community College,"275 Swamp Rd, Newtown, Pennsylvania 18940-4106",www.bucks.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Rural: Fringe,No,6098,6098,28%,23%,Fall 2020,"$6,842 ",-,211307,323900
Bucks County Community College-Gene and Marlene Epstein Campus at Lower Bucks,"1304 Veterans Hwy, Bristol, Pennsylvania 19007-0277",www.bucks.edu/,"2-year, Public",,Suburb: Large,,,,NA,NA,Fall 2023,NA,-,21130702,323901
Bucks County Community College-Upper Bucks Campus,"One Hillendale Dr, Perkasie, Pennsylvania 18944-0277",www.bucks.edu/,"2-year, Public",,Suburb: Large,,,,NA,NA,Fall 2023,NA,-,21130701,323902
Bucks County School of Beauty Culture Inc,"1761 Bustleton Pike, Feasterville, Pennsylvania 19053-7368",www.bcsbc.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,112,112,92%,NA,2020-21,"$19,294 ","Cosmetology/Cosmetologist, General",211316,2270500
Butler Beauty Academy,"233 S Main St, Butler, Pennsylvania 16001",beautyacademies.net/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Town: Fringe,No,14,14,76%,NA,2020-21,"$11,913 ","Cosmetology/Cosmetologist, General",211334,2544300
Butler Beauty Academy-Kittanning Beauty Academy,"120 Market St, Kittanning, Pennsylvania 16201",beautyacademies.net/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Town: Distant,No,39,39,71%,NA,2020-21,"$8,909 ","Cosmetology/Cosmetologist, General",213330,2544302
Butler Beauty Academy-New Castle Beauty Academy,"314 E Washington St, New Castle, Pennsylvania 16101",beautyacademies.net/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Town: Fringe,No,30,30,50%,NA,2020-21,"$8,970 ","Cosmetology/Cosmetologist, General",367431,2544303
Butler County Community College,"107 College Drive, Butler, Pennsylvania 16002",https://www.bc3.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Town: Fringe,No,2468,2468,31%,30%,Fall 2020,"$6,928 ",-,211343,324000
Byzantine Catholic Seminary of Saints Cyril and Methodius,"3605 Perrysville Avenue, Pittsburgh, Pennsylvania 15214-2229",www.bcs.edu/,"4-year, Private not-for-profit",Master's degree,City: Large,Yes,35,,NA,NA,Fall 2017,NA,-,444103,4118000
Cairn University-Langhorne,"200 Manor Ave, Langhorne, Pennsylvania 19047-2990",www.cairn.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,Suburb: Large,Yes,1056,855,65%,21%,Fall 2017,"$27,603 ",-,215114,335100
Career Technology Center of Lackawanna County,"3201 Rockwell Ave, Scranton, Pennsylvania 18508",https://www.ctclc.edu/Domain/138,"< 2-year, Public",One but less than two years certificate,City: Small,No,76,76,NA,NA,2020-21,"$16,058 ",Licensed Practical/Vocational Nurse Training,246071,3098600
Carlow University,"3333 Fifth Ave, Pittsburgh, Pennsylvania 15213-3165",www.carlow.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,City: Large,Yes,2310,1344,55%,32%,Fall 2017,"$20,561 ",-,211431,330300
Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, Pennsylvania 15213-3890",www.cmu.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship,City: Large,Yes,15596,7289,93%,3%,Fall 2017,"$32,964 ",-,211440,324200
CDE Career Institute,"2942 Route 611, Tannersville, Pennsylvania 18372",www.cde.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,308,308,56%,1%,2020-21,"$29,471 ","Health and Medical Administrative Services, Other",451495,4127500
Cedar Crest College,"100 College Drive, Allentown, Pennsylvania 18104-6196",www.cedarcrest.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,City: Midsize,Yes,1248,886,58%,31%,Fall 2017,"$23,036 ",-,211468,324300
Central Penn College,"600 Valley Road, Summerdale, Pennsylvania 17093-0309",https://www.centralpenn.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,Suburb: Large,Yes,827,806,39%,NA,Fall 2017,"$18,681 ",-,211477,489000
Central Pennsylvania Institute of Science and Technology,"540 N Harrison Rd, Pleasant Gap, Pennsylvania 16823",www.cpi.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Rural: Fringe,No,126,126,89%,NA,Fall 2020,"$7,723 ",Licensed Practical/Vocational Nurse Training,369668,533500
Central Susquehanna Intermediate Unit LPN Career,"15 Lawton Lane, Milton, Pennsylvania 17847",www.csiu.org/lpn,"< 2-year, Public",One but less than two years certificate,Rural: Fringe,No,87,87,76%,NA,2020-21,"$17,987 ",Licensed Practical/Vocational Nurse Training,406422,2151500
Champ's Barber School,"54 West King Street, Lancaster, Pennsylvania 17602-3809",www.champsbarberschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,45,45,78%,NA,2020-21,"$17,381 ",Barbering/Barber,483753,4215500
Champ's Barber School-Lebanon,"37 South 8th Street, Lebanon, Pennsylvania 17042-0001",https://www.champsbarberschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,19,19,NA,NA,2020-21,"$17,646 ",Barbering/Barber,499033,4215501
Chatham University,"Woodland Road, Office of Institutional Research, Pittsburgh, Pennsylvania 15232",www.chatham.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice,City: Large,Yes,2319,1507,66%,24%,Fall 2017,"$29,051 ",-,211556,324400
Chester County Intermediate Unit,"443 Boot Road, Downingtown, Pennsylvania 19335",www.chestercountynursing.org/,"< 2-year, Public",One but less than two years certificate,Suburb: Large,No,85,85,71%,NA,2020-21,"$19,234 ",Licensed Practical/Vocational Nurse Training,418427,752900
Chestnut Hill College,"9601 Germantown Ave, Philadelphia, Pennsylvania 19118-2693",www.chc.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,City: Large,Yes,1402,972,56%,29%,Fall 2017,"$28,583 ",-,211583,324500
Cheyney University of Pennsylvania,"1837 University Circle, Cheyney, Pennsylvania 19319-0200",https://www.cheyney.edu/,"4-year, Public",Less than one year certificate|Bachelor's degree,Rural: Fringe,Yes,724,724,16%,45%,Fall 2017,"$8,460 ",-,211608,331700
Citizens School of Nursing,"539 Pittsburgh Mills Circle, Tarentum, Pennsylvania 15084",https://www.ahn.org/education/citizens-school-nursing,"2-year, Private not-for-profit",Two but less than 4 years certificate,Suburb: Large,No,115,115,83%,NA,Fall 2020,"$24,848 ",Registered Nursing/Registered Nurse,211635,653400
Clearfield County Career and Technology Center,"1620 River Road, Clearfield, Pennsylvania 16830",ccctc.edu/,"< 2-year, Public",One but less than two years certificate,Rural: Fringe,No,37,37,82%,NA,2020-21,"$12,348 ",Licensed Practical/Vocational Nurse Training,430908,2169600
Commonwealth Technical Institute,"727 Goucher St, Johnstown, Pennsylvania 15905",www.dli.pa.gov/Individuals/Disability-Services/CTI-HGAC/Pages/Home.aspx,"2-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Small,Yes,132,132,74%,NA,Fall 2020,"$12,882 ",-,212975,2536600
Commonwealth University of Pennsylvania,"400 East Second Street, Bloomsburg, Pennsylvania 17815",https://www.commonwealthu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,Town: Distant,Yes,11088,9967,53%,27%,Fall 2017,"$18,004 ",-,498562,331500
Community College of Allegheny County,"800 Allegheny Ave, Pittsburgh, Pennsylvania 15233-1895",https://www.ccac.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate,City: Large,No,10451,10451,23%,22%,Fall 2020,"$7,773 ",-,210605,323100
Community College of Beaver County,"1 Campus Drive, Monaca, Pennsylvania 15061-2588",https://www.ccbc.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,1673,1673,21%,20%,Fall 2020,"$5,981 ",-,211079,680700
Community College of Philadelphia,"1700 Spring Garden St, Philadelphia, Pennsylvania 19130-3991",https://www.ccp.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Large,No,12224,12224,20%,12%,Fall 2020,"$11,171 ",-,215239,324900
Cortiva Institute,"211 South Gulph Road Suite 100, King of Prussia, Pennsylvania 19406",www.cortiva.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,137,137,73%,NA,2020-21,"$31,832 ",Massage Therapy/Therapeutic Massage,215044,3766300
Crawford County Career and Technical Center Practical Nursing Program,"860 Thurston Rd, Meadville, Pennsylvania 16335",https://crawfordctc.org/programs/practical-nursing,"< 2-year, Public",,Town: Distant,,25,25,83%,NA,2020-21,"$11,239 ",-,419484,
Curtis Institute of Music,"1726 Locust St, Philadelphia, Pennsylvania 19103",www.curtis.edu/,"4-year, Private not-for-profit",Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Large,Yes,159,106,95%,NA,Fall 2017,"$21,615 ",-,211893,
Cutting Edge Barber Academy,"114 West Orange Street, Lancaster, Pennsylvania 17603-4229",https://thecuttingedgebarberacademy.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Small,No,28,28,100%,NA,2020-21,"$20,849 ",Barbering/Barber,498818,4303200
Delaware County Community College,"901 S Media Line Rd, Media, Pennsylvania 19063-1094",www.dccc.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate,Suburb: Large,No,7638,7638,20%,22%,Fall 2020,"$7,514 ",-,211927,711000
Delaware County Technical School-Practical Nursing Program,"85 North Malin Road, Broomall, Pennsylvania 19008",www.dciu.org/lpn,"< 2-year, Public",One but less than two years certificate,Suburb: Large,No,42,42,76%,NA,2020-21,"$19,656 ",Licensed Practical/Vocational Nurse Training,430971,3128400
Delaware Valley University,"700 E Butler Ave, Doylestown, Pennsylvania 18901-2697",www.delval.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship,Suburb: Large,Yes,2189,1759,52%,31%,Fall 2017,"$28,401 ",-,211981,325200
DeSales University,"2755 Station Avenue, Center Valley, Pennsylvania 18034-9568",www.desales.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,Suburb: Large,Yes,2919,2149,71%,20%,Fall 2017,"$30,524 ",-,210739,398600
Dickinson College,"College and Louther Streets, Carlisle, Pennsylvania 17013-2896",https://www.dickinson.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Small,Yes,2217,2204,83%,NA,Fall 2017,"$40,242 ",-,212009,325300
DLP Conemaugh Memorial Medical Center,"1086 Franklin St, Johnstown, Pennsylvania 15905-4398",www.conemaugh.org/education,"2-year, Private for-profit",One but less than two years certificate|Two but less than 4 years certificate,City: Small,No,108,108,36%,NA,Fall 2020,"$14,834 ",Registered Nursing/Registered Nurse,211802,653700
Douglas Education Center,"130 7th St, Monessen, Pennsylvania 15062",www.dec.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Town: Fringe,No,200,200,82%,NA,Fall 2020,"$24,274 ",-,212045,2068300
Drexel University,"3141 Chestnut St, Philadelphia, Pennsylvania 19104",https://drexel.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other,City: Large,Yes,21703,13589,77%,NA,Fall 2017,"$42,342 ",-,212054,325600
Duquesne University,"Administration Bldg 600 Forbes Ave, Pittsburgh, Pennsylvania 15282",www.duq.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,Yes,8137,5226,76%,NA,Fall 2017,"$35,125 ",-,212106,325800
East Stroudsburg University of Pennsylvania,"200 Prospect Street, East Stroudsburg, Pennsylvania 18301-2999",https://www.esu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice,Town: Fringe,Yes,5460,4697,44%,30%,Fall 2017,"$15,318 ",-,212115,332000
Eastern Center for Arts and Technology,"3075 Terwood Rd, Willow Grove, Pennsylvania 19090",www.eastech.org/,"< 2-year, Public",One but less than two years certificate,Suburb: Large,No,181,181,83%,NA,2020-21,"$20,659 ",Licensed Practical/Vocational Nurse Training,375966,2492600
Eastern University,"1300 Eagle Rd, Saint Davids, Pennsylvania 19087-3696",https://www.eastern.edu/about/student-consumer-information,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,6981,2068,56%,29%,Fall 2017,"$21,900 ",-,212133,325900
Elizabethtown College,"One Alpha Drive, Elizabethtown, Pennsylvania 17022-2298",www.etown.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice,Suburb: Large,Yes,2152,1857,77%,NA,Fall 2017,"$27,019 ",-,212197,326200
Empire Beauty  School-Lehigh Valley,"1634 MacArthur Rd, Whitehall, Pennsylvania 18052",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,133,133,64%,NA,2020-21,"$17,382 ","Cosmetology/Cosmetologist, General",212328,966400
Empire Beauty School-Center City Philadelphia,"1522 Chestnut St, Philadelphia, Pennsylvania 19102-2701",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Large,No,262,262,34%,NA,2020-21,"$17,438 ","Cosmetology/Cosmetologist, General",375984,817809
Empire Beauty School-Cheltenham,"Cedarbrook Plaza, 1000 Easton Road, Wyncote, Pennsylvania 19095",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,151,151,48%,NA,2020-21,"$17,752 ","Cosmetology/Cosmetologist, General",485397,1054214
Empire Beauty School-Hanover,"Clearview Shp Ctr., 1000 Carlisle St, S4, Hanover, Pennsylvania 17331",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Small,No,50,50,78%,NA,2020-21,"$16,293 ","Cosmetology/Cosmetologist, General",415039,2079410
Empire Beauty School-Harrisburg,"3941 Jonestown Rd, Harrisburg, Pennsylvania 17109",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,150,150,57%,NA,2020-21,"$16,120 ","Cosmetology/Cosmetologist, General",212382,817803
Empire Beauty School-Lancaster,"1801 Columbia Ave, Lancaster, Pennsylvania 17603",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,87,87,83%,NA,2020-21,"$15,547 ","Cosmetology/Cosmetologist, General",212276,966408
Empire Beauty School-Lebanon,"1776 Quentin Rd Cedar Crest Sq, Lebanon, Pennsylvania 17042",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Small,No,33,33,90%,NA,2020-21,"$17,263 ","Cosmetology/Cosmetologist, General",212230,817806
Empire Beauty School-Monroeville,"The Plaza, 320 Mall Blvd, Monroeville, Pennsylvania 15146-2229",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,65,65,79%,NA,2020-21,"$16,353 ","Cosmetology/Cosmetologist, General",430227,966405
Empire Beauty School-NE Philadelphia,"4026 Woodhaven Rd, Philadelphia, Pennsylvania 19154",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Large,No,119,119,79%,NA,2020-21,"$16,885 ","Cosmetology/Cosmetologist, General",212753,2079400
Empire Beauty School-North Hills,"4768 McKnight Road, Pittsburgh, Pennsylvania 15237",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,59,59,52%,NA,2020-21,"$17,351 ","Cosmetology/Cosmetologist, General",450605,817805
Empire Beauty School-Pottsville,"396 Pottsville - St. Clair Highway, Pottsville, Pennsylvania 17901",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Town: Distant,No,56,56,69%,NA,2020-21,"$16,820 ","Cosmetology/Cosmetologist, General",212300,1260600
Empire Beauty School-Reading,"2302 N 5th St Highway, Reading, Pennsylvania 19605",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,76,76,56%,NA,2020-21,"$16,887 ","Cosmetology/Cosmetologist, General",212391,1054203
Empire Beauty School-Shamokin Dam,"30 Baldwin Blvd, Suite 50, Shamokin Dam, Pennsylvania 17876",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Town: Distant,No,75,75,54%,NA,2020-21,"$17,014 ","Cosmetology/Cosmetologist, General",212294,966411
Empire Beauty School-Springfield,"799 W Sproul Rd, Springfield, Pennsylvania 19064",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,174,174,70%,NA,2020-21,"$16,338 ","Cosmetology/Cosmetologist, General",458830,966413
Empire Beauty School-West Mifflin,"2394 Mountainview Dr, West Mifflin, Pennsylvania 15122",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,76,76,53%,NA,2020-21,"$16,999 ","Cosmetology/Cosmetologist, General",444307,966406
Empire Beauty School-Wyoming Valley,"3370 Birney Avenue, Moosic, Pennsylvania 18507",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,137,137,62%,NA,2020-21,"$17,004 ","Cosmetology/Cosmetologist, General",212355,1054200
Empire Beauty School-York,"2592 Eastern Blvd, Kingston Square Shopping Ctr, York, Pennsylvania 17402",www.empire.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Midsize,No,95,95,74%,NA,2020-21,"$17,404 ","Cosmetology/Cosmetologist, General",212267,1054205
Erie Institute of Technology Inc,"940 Millcreek Mall, Erie, Pennsylvania 16565",www.erieit.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Midsize,No,183,183,84%,NA,Fall 2020,"$18,218 ",-,212434,2203900
European Medical School of Massage,"2921 Windmill Road Suite 1, Sinking Spring, Pennsylvania 19608-1680",emsom.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,23,23,85%,NA,2020-21,"$27,824 ",Massage Therapy/Therapeutic Massage,491598,4261300
Falcon Institute of Health and Science,"3045 Avenue B, Bethlehem, Pennsylvania 18017-2113",www.falconihs.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,186,186,64%,NA,2020-21,"$45,181 ",Licensed Practical/Vocational Nurse Training,493813,4283500
Fayette County Career & Technical Institute Practical Nursing Program,"175 Georges Fairchance Rd, Uniontown, Pennsylvania 15401",www.fayettecti.org/,"< 2-year, Public",One but less than two years certificate,Rural: Fringe,No,69,69,71%,NA,2020-21,"$21,404 ",Licensed Practical/Vocational Nurse Training,248624,533000
Fortis Institute-Forty Fort,"166 Slocum Street, Forty Fort, Pennsylvania 18704-2936",www.fortis.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,159,159,58%,NA,Fall 2020,"$19,314 ",-,249609,3011601
Fortis Institute-Scranton,"517 Ash Street, Scranton, Pennsylvania 18509-2903",https://www.fortis.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Small,No,205,205,47%,NA,Fall 2020,"$23,984 ",-,385503,3011600
Fountain of Youth Academy of Cosmetology,"5824 Forbes Ave, Pittsburgh, Pennsylvania 15217",fountainofyouthacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Large,No,52,52,67%,NA,2020-21,"$29,459 ","Cosmetology and Related Personal Grooming Arts, Other",485236,4236800
Franklin and Marshall College,"College Ave, Lancaster, Pennsylvania 17604-3003",https://www.fandm.edu/,"4-year, Private not-for-profit",Bachelor's degree,City: Small,Yes,1911,1911,86%,11%,Fall 2017,"$37,475 ",-,212577,326500
Franklin County Career and Technology Center,"2463 Loop Road, Chambersburg, Pennsylvania 17202",www.franklincountylpn.org/,"< 2-year, Public",One but less than two years certificate,Rural: Fringe,No,51,51,40%,NA,2020-21,"$19,671 ",Licensed Practical/Vocational Nurse Training,248633,791600
