Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Pennsylvania Academy of the Fine Arts,"128 N. Broad Street, Philadelphia, Pennsylvania 19102-1510",https://www.pafa.org/,"4-year, Private not-for-profit",One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree,City: Large,No,141,99,68%,24%,Fall 2017,"$45,518 ",-,214971,2107300
Pennsylvania College of Art and Design,"204 N Prince St, Lancaster, Pennsylvania 17603-0059",pcad.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree,City: Small,Yes,323,323,64%,23%,Fall 2017,"$30,437 ",-,215053,2269900
Pennsylvania College of Technology,"One College Ave, Williamsport, Pennsylvania 17701-5799",https://www.pct.edu/,"4-year, primarily associate's, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree,City: Small,Yes,4307,4287,50%,3%,Fall 2017,"$24,650 ",-,366252,339500
Pennsylvania Gunsmith School,"812 Ohio River Blvd, Pittsburgh, Pennsylvania 15202-2637",https://pagunsmith.edu/,"2-year, Private for-profit",Two but less than 4 years certificate,Suburb: Large,No,68,68,77%,NA,Fall 2020,"$25,836 ",Gunsmithing/Gunsmith,215008,2330600
Pennsylvania Highlands Community College,"101 Community College Way, Johnstown, Pennsylvania 15904-2949",www.pennhighlands.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Rural: Fringe,No,2286,2286,41%,13%,Fall 2020,"$5,790 ",-,414911,3180400
Pennsylvania Institute of Technology,"800 Manchester Ave, Media, Pennsylvania 19063-4098",www.pit.edu/,"4-year, primarily associate's, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree,Suburb: Large,No,662,662,33%,7%,Fall 2017,"$16,303 ",-,214582,1099800
Pennsylvania State University-Main Campus,"201 Old Main, University Park, Pennsylvania 16802-1503",https://www.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,Yes,50399,42223,86%,NA,Fall 2017,"$27,450 ",-,214777,332900
Pennsylvania State University-Penn State Abington,"1600 Woodland Road, Abington, Pennsylvania 19001-3918",https://www.abington.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,Suburb: Large,Yes,3095,3095,22%,37%,Fall 2017,"$17,561 ",-,214801,332913
Pennsylvania State University-Penn State Altoona,"3000 Ivyside Park, Altoona, Pennsylvania 16601-3777",https://altoona.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,City: Small,Yes,2421,2421,18%,46%,Fall 2017,"$22,506 ",-,214689,332903
Pennsylvania State University-Penn State Beaver,"100 University Drive, Monaca, Pennsylvania 15061-2764",https://beaver.psu.edu/,"4-year, Public",Less than one year certificate|Bachelor's degree|Master's degree,Suburb: Large,Yes,504,504,21%,38%,Fall 2017,"$19,329 ",-,214698,332904
